French,English
histoire,history
chercher,search
police,police
aide,help
genre,kind
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
donner,give
leurs,their
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
venez,come
devant,in front of
vers,towards
demandé,request
mis,placed
belle,beautiful
droit,law
cause,cause
espère,hope
attendez,Wait
dirait,would say
compte,account
loin,far
croire,believe
gros,large
jouer,to play
bureau,office
